'Elapsed time','ECG'
'seconds','mV'
490.000,-0.780
490.004,-0.730
490.008,-0.660
490.012,-0.615
490.016,-0.605
490.020,-0.580
490.024,-0.530
490.028,-0.505
490.032,-0.510
490.036,-0.510
490.040,-0.465
490.044,-0.415
490.048,-0.385
490.052,-0.340
490.056,-0.235
490.060,-0.125
490.064,-0.050
490.068,-0.020
490.072,0.055
490.076,0.115
490.080,0.135
490.084,0.125
490.088,0.155
490.092,0.155
490.096,0.135
490.100,0.135
490.104,0.200
490.108,0.295
490.112,0.370
490.116,0.365
490.120,0.385
490.124,0.370
490.128,0.315
490.132,0.230
490.136,0.120
490.140,-0.020
490.144,-0.170
490.148,-0.350
490.152,-0.550
490.156,-0.665
490.160,-0.730
490.164,-0.775
490.168,-0.810
490.172,-0.800
490.176,-0.775
490.180,-0.755
490.184,-0.705
490.188,-0.610
490.192,-0.520
490.196,-0.480
490.200,-0.460
490.204,-0.385
490.208,-0.305
490.212,-0.250
490.216,-0.230
490.220,-0.175
490.224,-0.080
490.228,-0.020
490.232,0.035
490.236,0.090
490.240,0.175
490.244,0.205
490.248,0.200
490.252,0.195
490.256,0.220
490.260,0.235
490.264,0.220
490.268,0.195
490.272,0.210
490.276,0.235
490.280,0.225
490.284,0.185
490.288,0.195
490.292,0.210
490.296,0.195
490.300,0.165
490.304,0.180
490.308,0.190
490.312,0.180
490.316,0.140
490.320,0.140
490.324,0.150
490.328,0.135
490.332,0.085
490.336,0.060
490.340,0.065
490.344,0.055
490.348,0.020
490.352,-0.020
490.356,0.005
490.360,0.010
490.364,-0.020
490.368,-0.040
490.372,0.010
490.376,0.085
490.380,0.155
490.384,0.215
490.388,0.300
490.392,0.385
490.396,0.420
490.400,0.420
490.404,0.480
490.408,0.500
490.412,0.490
490.416,0.485
490.420,0.500
490.424,0.540
490.428,0.560
490.432,0.515
490.436,0.485
490.440,0.475
490.444,0.440
490.448,0.395
490.452,0.310
490.456,0.210
490.460,0.075
490.464,-0.070
490.468,-0.175
490.472,-0.170
490.476,-0.145
490.480,-0.120
490.484,-0.150
490.488,-0.180
490.492,-0.190
490.496,-0.180
490.500,-0.180
490.504,-0.125
490.508,-0.080
490.512,-0.080
490.516,-0.145
490.520,-0.160
490.524,-0.160
490.528,-0.185
490.532,-0.235
490.536,-0.295
490.540,-0.345
490.544,-0.415
490.548,-0.500
490.552,-0.555
490.556,-0.555
490.560,-0.565
490.564,-0.600
490.568,-0.640
490.572,-0.640
490.576,-0.630
490.580,-0.655
490.584,-0.685
490.588,-0.685
490.592,-0.670
490.596,-0.690
490.600,-0.725
490.604,-0.700
490.608,-0.665
490.612,-0.655
490.616,-0.675
490.620,-0.670
490.624,-0.640
490.628,-0.635
490.632,-0.650
490.636,-0.640
490.640,-0.610
490.644,-0.600
490.648,-0.620
490.652,-0.620
490.656,-0.590
490.660,-0.560
490.664,-0.550
490.668,-0.545
490.672,-0.475
490.676,-0.410
490.680,-0.360
490.684,-0.305
490.688,-0.215
490.692,-0.150
490.696,-0.130
490.700,-0.155
490.704,-0.125
490.708,-0.085
490.712,-0.085
490.716,-0.135
490.720,-0.150
490.724,-0.125
490.728,-0.095
490.732,-0.115
490.736,-0.120
490.740,-0.060
490.744,0.005
490.748,0.005
490.752,0.010
490.756,0.030
490.760,0.000
490.764,-0.065
490.768,-0.105
490.772,-0.170
490.776,-0.285
490.780,-0.440
490.784,-0.595
490.788,-0.635
490.792,-0.630
490.796,-0.620
490.800,-0.630
490.804,-0.615
490.808,-0.590
490.812,-0.585
490.816,-0.585
490.820,-0.555
490.824,-0.525
490.828,-0.520
490.832,-0.525
490.836,-0.525
490.840,-0.495
490.844,-0.485
490.848,-0.490
490.852,-0.500
490.856,-0.480
490.860,-0.480
490.864,-0.490
490.868,-0.510
490.872,-0.490
490.876,-0.480
490.880,-0.500
490.884,-0.525
490.888,-0.505
490.892,-0.490
490.896,-0.490
490.900,-0.515
490.904,-0.490
490.908,-0.465
490.912,-0.460
490.916,-0.490
490.920,-0.485
490.924,-0.460
490.928,-0.460
490.932,-0.490
490.936,-0.485
490.940,-0.460
490.944,-0.455
490.948,-0.475
490.952,-0.485
490.956,-0.470
490.960,-0.450
490.964,-0.465
490.968,-0.480
490.972,-0.455
490.976,-0.440
490.980,-0.445
490.984,-0.465
490.988,-0.440
490.992,-0.395
490.996,-0.370
491.000,-0.360
491.004,-0.305
491.008,-0.245
491.012,-0.195
491.016,-0.165
491.020,-0.115
491.024,-0.035
491.028,0.005
491.032,0.020
491.036,0.100
491.040,0.215
491.044,0.285
491.048,0.300
491.052,0.255
491.056,0.215
491.060,0.205
491.064,0.175
491.068,0.125
491.072,0.125
491.076,0.095
491.080,0.060
491.084,0.030
491.088,0.050
491.092,0.090
491.096,0.095
491.100,0.005
491.104,-0.100
491.108,-0.145
491.112,-0.185
491.116,-0.250
491.120,-0.290
491.124,-0.320
491.128,-0.385
491.132,-0.445
491.136,-0.450
491.140,-0.430
491.144,-0.435
491.148,-0.450
491.152,-0.440
491.156,-0.400
491.160,-0.390
491.164,-0.405
491.168,-0.420
491.172,-0.385
491.176,-0.370
491.180,-0.380
491.184,-0.395
491.188,-0.370
491.192,-0.350
491.196,-0.370
491.200,-0.410
491.204,-0.405
491.208,-0.390
491.212,-0.410
491.216,-0.440
491.220,-0.430
491.224,-0.400
491.228,-0.405
491.232,-0.435
491.236,-0.435
491.240,-0.410
491.244,-0.400
491.248,-0.405
491.252,-0.415
491.256,-0.380
491.260,-0.365
491.264,-0.370
491.268,-0.395
491.272,-0.370
491.276,-0.355
491.280,-0.355
491.284,-0.380
491.288,-0.360
491.292,-0.345
491.296,-0.355
491.300,-0.385
491.304,-0.370
491.308,-0.345
491.312,-0.355
491.316,-0.385
491.320,-0.370
491.324,-0.340
491.328,-0.330
491.332,-0.350
491.336,-0.340
491.340,-0.300
491.344,-0.270
491.348,-0.270
491.352,-0.270
491.356,-0.240
491.360,-0.200
491.364,-0.170
491.368,-0.145
491.372,-0.060
491.376,0.020
491.380,0.070
491.384,0.135
491.388,0.245
491.392,0.355
491.396,0.465
491.400,0.550
491.404,0.675
491.408,0.815
491.412,0.880
491.416,0.865
491.420,0.860
491.424,0.830
491.428,0.770
491.432,0.750
491.436,0.735
491.440,0.660
491.444,0.515
491.448,0.330
491.452,0.065
491.456,-0.200
491.460,-0.470
491.464,-0.770
491.468,-0.965
491.472,-0.960
491.476,-0.790
491.480,-0.605
491.484,-0.490
491.488,-0.400
491.492,-0.365
491.496,-0.370
491.500,-0.410
491.504,-0.400
491.508,-0.400
491.512,-0.415
491.516,-0.435
491.520,-0.390
491.524,-0.340
491.528,-0.320
491.532,-0.315
491.536,-0.290
491.540,-0.225
491.544,-0.160
491.548,-0.150
491.552,-0.160
491.556,-0.160
491.560,-0.185
491.564,-0.235
491.568,-0.260
491.572,-0.240
491.576,-0.225
491.580,-0.240
491.584,-0.260
491.588,-0.230
491.592,-0.195
491.596,-0.195
491.600,-0.210
491.604,-0.185
491.608,-0.145
491.612,-0.140
491.616,-0.170
491.620,-0.150
491.624,-0.125
491.628,-0.120
491.632,-0.135
491.636,-0.135
491.640,-0.115
491.644,-0.115
491.648,-0.145
491.652,-0.150
491.656,-0.120
491.660,-0.110
491.664,-0.120
491.668,-0.135
491.672,-0.115
491.676,-0.100
491.680,-0.115
491.684,-0.140
491.688,-0.110
491.692,-0.085
491.696,-0.095
491.700,-0.120
491.704,-0.105
491.708,-0.080
491.712,-0.080
491.716,-0.110
491.720,-0.090
491.724,-0.060
491.728,-0.050
491.732,-0.070
491.736,-0.065
491.740,-0.040
491.744,-0.030
491.748,-0.045
491.752,-0.055
491.756,-0.030
491.760,0.000
491.764,-0.020
491.768,-0.040
491.772,-0.020
491.776,0.005
491.780,0.000
491.784,-0.030
491.788,0.000
491.792,0.025
491.796,0.015
491.800,0.000
491.804,0.010
491.808,0.030
491.812,0.015
491.816,-0.025
491.820,-0.025
491.824,0.015
491.828,0.010
491.832,-0.025
491.836,-0.025
491.840,0.015
491.844,0.015
491.848,0.005
491.852,-0.025
491.856,0.005
491.860,0.015
491.864,0.000
491.868,-0.030
491.872,0.005
491.876,0.020
491.880,0.005
491.884,-0.025
491.888,0.005
491.892,0.015
491.896,0.005
491.900,-0.035
491.904,0.000
491.908,0.025
491.912,0.020
491.916,-0.025
491.920,-0.020
491.924,0.010
491.928,0.010
491.932,-0.020
491.936,0.000
491.940,0.020
491.944,0.025
491.948,0.005
491.952,0.000
491.956,0.020
491.960,0.030
491.964,0.015
491.968,-0.015
491.972,0.015
491.976,0.035
491.980,0.025
491.984,-0.015
491.988,0.015
491.992,0.030
491.996,0.020
492.000,0.000
492.004,0.015
492.008,0.035
492.012,0.035
492.016,0.010
492.020,0.015
492.024,0.045
492.028,0.040
492.032,0.015
492.036,0.015
492.040,0.035
492.044,0.040
492.048,0.030
492.052,0.015
492.056,0.035
492.060,0.045
492.064,0.035
492.068,0.010
492.072,0.020
492.076,0.025
492.080,0.015
492.084,-0.025
492.088,0.010
492.092,0.015
492.096,0.000
492.100,-0.030
492.104,0.000
492.108,0.000
492.112,-0.020
492.116,-0.025
492.120,0.080
492.124,0.230
492.128,0.370
492.132,0.495
492.136,0.670
492.140,0.860
492.144,1.005
492.148,1.130
492.152,1.260
492.156,1.400
492.160,1.510
492.164,1.545
492.168,1.570
492.172,1.620
492.176,1.620
492.180,1.545
492.184,1.420
492.188,1.375
492.192,1.345
492.196,1.300
492.200,1.245
492.204,1.205
492.208,1.195
492.212,1.115
492.216,1.015
492.220,0.960
492.224,0.940
492.228,0.935
492.232,0.945
492.236,0.900
492.240,0.830
492.244,0.755
492.248,0.645
492.252,0.520
492.256,0.395
492.260,0.275
492.264,0.140
492.268,0.020
492.272,-0.055
492.276,-0.110
492.280,-0.165
492.284,-0.225
492.288,-0.220
492.292,-0.210
492.296,-0.230
492.300,-0.265
492.304,-0.250
492.308,-0.235
492.312,-0.245
492.316,-0.290
492.320,-0.290
492.324,-0.275
492.328,-0.285
492.332,-0.330
492.336,-0.335
492.340,-0.320
